Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,461.950012,461.950012,440.000000,443.100006,440.930450,31337
2017-09-26,445.399994,448.000000,428.500000,431.500000,429.387238,134661
2017-09-27,436.000000,445.500000,431.000000,435.750000,433.616425,104938
2017-09-28,439.000000,459.000000,437.049988,450.750000,448.542969,49277
2017-09-29,458.799988,461.450012,450.000000,455.850006,453.618011,52267
2017-10-03,459.000000,471.899994,457.000000,459.950012,457.697937,83103
2017-10-04,461.399994,466.100006,456.100006,461.799988,459.538849,17387
2017-10-05,463.399994,463.399994,455.950012,456.399994,454.165314,22462
2017-10-06,458.549988,484.700012,457.049988,477.399994,475.062469,123694
2017-10-09,481.000000,484.000000,469.549988,471.750000,469.440155,29091
2017-10-10,474.850006,480.000000,468.000000,471.450012,469.141632,19466
2017-10-11,476.000000,479.899994,464.399994,468.450012,466.156311,19994
2017-10-12,465.000000,470.950012,460.000000,461.350006,459.091064,20644
2017-10-13,460.149994,478.200012,460.149994,467.649994,465.360229,58120
2017-10-16,469.000000,473.000000,457.649994,462.350006,460.086182,14542
2017-10-17,461.000000,466.799988,461.000000,463.350006,461.081299,14006
2017-10-18,469.950012,469.950012,460.100006,461.799988,459.538849,17680
2017-10-19,464.000000,470.000000,460.250000,464.799988,462.524170,13471
2017-10-23,468.000000,468.000000,453.500000,455.100006,452.871674,675153
2017-10-24,471.750000,489.899994,468.000000,471.350006,469.042114,385759
2017-10-25,475.000000,480.000000,471.200012,473.350006,471.032318,61677
2017-10-26,475.950012,475.950012,468.049988,472.000000,469.688934,25440
2017-10-27,478.799988,486.250000,476.200012,478.799988,476.455627,83500
2017-10-30,471.500000,492.100006,471.500000,486.600006,484.217438,72813
2017-10-31,482.000000,485.850006,478.049988,479.850006,477.500488,20862
2017-11-01,476.100006,514.500000,476.100006,498.350006,495.909912,334555
2017-11-02,500.000000,507.899994,485.549988,488.450012,486.058380,61216
2017-11-03,485.250000,495.200012,481.049988,482.950012,480.585327,44907
2017-11-06,480.000000,489.000000,478.000000,486.299988,483.918884,33381
2017-11-07,485.000000,490.000000,474.000000,475.350006,473.022522,27504
2017-11-08,475.000000,483.000000,471.000000,472.250000,469.937714,16496
2017-11-09,475.899994,478.950012,472.500000,475.049988,472.723969,10254
2017-11-10,475.200012,484.000000,475.200012,477.450012,475.112244,19536
2017-11-13,476.600006,481.000000,472.500000,473.750000,471.430359,17957
2017-11-14,473.450012,479.000000,470.000000,472.649994,470.335724,7702
2017-11-15,470.049988,474.950012,465.000000,467.399994,465.111450,12561
2017-11-16,470.000000,481.000000,467.399994,474.549988,472.226440,13377
2017-11-17,481.899994,482.000000,470.549988,472.750000,470.435242,17123
2017-11-20,471.000000,477.000000,449.950012,461.600006,459.339844,31817
2017-11-21,465.799988,475.950012,458.500000,466.399994,464.116333,30104
2017-11-22,466.200012,482.000000,466.200012,471.600006,469.290894,38696
2017-11-23,475.799988,475.799988,470.000000,471.549988,469.241119,11657
2017-11-24,475.799988,478.799988,469.700012,470.350006,468.046997,15584
2017-11-27,471.000000,479.000000,468.750000,470.899994,468.594299,18611
2017-11-28,475.000000,475.000000,468.500000,469.649994,467.350433,9918
2017-11-29,468.299988,479.700012,468.299988,473.450012,471.131836,31121
2017-11-30,471.250000,478.700012,469.649994,472.350006,470.037231,15471
2017-12-01,472.399994,490.000000,471.250000,473.850006,471.529877,64257
2017-12-04,477.950012,477.950012,468.500000,474.250000,471.927917,16406
2017-12-05,477.299988,477.299988,469.000000,473.000000,470.684021,15368
2017-12-06,472.600006,476.750000,466.500000,470.049988,467.748474,12333
2017-12-07,474.000000,479.950012,471.549988,477.200012,474.863464,27906
2017-12-08,481.000000,489.000000,478.350006,481.500000,479.142426,46668
2017-12-11,485.000000,486.399994,475.700012,477.450012,475.112244,510264
2017-12-12,478.250000,502.000000,478.250000,486.350006,483.968658,150134
2017-12-13,488.700012,492.000000,482.000000,483.149994,480.784332,30774
2017-12-14,498.700012,508.200012,482.500000,484.649994,482.276978,185513
2017-12-15,492.000000,492.700012,485.000000,488.500000,486.108124,36800
